,Unnamed: 0,Brand,OS,RAM,ROM,Prices,Display,Processor,Warranty,Rating
512,512,ASUS,Windows 11,16,512,94990,17.3,Intel Core i5 ,1,4.4
513,513,HP,Windows 11,16,512,95990,15.6,Intel Core i5 ,1,4.7
514,514,Apple,Mac,8,512,156290,14,Apple M3 ,1,4.7
515,515,ASUS,Windows 10,16,1024,198990,15.6,AMD Ryzen 9 Octa Core ,1,4.8
516,516,ASUS,Windows 11,8,512,42550,15.6,Intel Core i5 ,1,4.3
517,517,ASUS,Windows 11,16,512,72990,14,Intel Core i5 ,1,4.3
518,518,HP,Windows 10,8,512,44000,15.6,AMD Ryzen 5 Quad Core ,1,4.5
519,519,HP,Windows 11,8,512,44290,14,Intel Core i3 ,1,4.3
520,520,SAMSUNG,Windows 11,8,512,74990,15.6,Intel Core i5 ,1,4.4
521,521,HP,Windows 11,32,2048,206999,17.3,Intel Core i9 ,1,4.4
522,522,DELL,Windows 11,16,512,58900,15.6,Intel Core i5 ,1,4.4
523,523,ASUS,Windows 11,16,1024,73990,15.6,AMD Ryzen 7 Octa Core ,1,4.3
524,524,ASUS,Windows 11,16,512,99990,14,Intel Core i7 ,1,4.5
525,525,HP,Windows 11,16,512,64444,15.6,Intel Core i5 ,1,3.8
526,526,Lenovo,Windows 10,8,256,50000,15.6,Intel Core i5 ,2,4.3
527,527,DELL,Windows 11,8,512,40770,14,Intel Core i3 ,1,4.5
528,528,HP,Windows 11,16,512,58500,15.6,AMD Ryzen 5 Hexa Core ,1,4.1
529,529,Apple,Mac,8,512,156290,14,Apple M3 ,1,4.1
530,530,Lenovo,Windows 10,16,1024,116371,15.6,Intel Core i7 ,3,4.1
531,531,HP,Windows 11,16,1024,89890,15.6,Intel Core i7 ,1,4.2
532,532,ASUS,Windows 11,16,512,76990,16,Intel Core i5 ,1,4.2
533,533,SAMSUNG,Windows 11,16,512,117990,13.3,Intel Core i5 ,1,4.6
534,534,ASUS,Windows 11,8,256,42990,14,Intel Core i3 ,1,4.3
535,535,HP,Windows 11,8,512,82899,15.6,Intel Core i7 ,1,4.3
536,536,DELL,Windows 11,16,512,69490,14,Intel Core i7 ,1,4.5
537,537,HP,Windows 11,8,512,57999,15.6,Intel Core i5 ,1,4.2
538,538,HP,Windows 11,8,512,41000,15.6,Intel Core i3 ,1,4.4
539,539,Lenovo,Windows 10,16,512,69390,14,AMD Ryzen 7 Octa Core ,1,4.5
540,540,ASUS,Windows 11,8,512,54250,15.6,Intel Core i5 ,1,4.4
541,541,ASUS,Windows 11,16,1024,71830,14,AMD Ryzen 7 Octa Core ,1,4.4
542,542,SAMSUNG,Windows 11,16,512,134990,16,Intel Core i7 ,1,4.1
543,543,ASUS,Windows 11,16,1024,123999,13.3,AMD Ryzen 7 Octa Core ,1,4.1
544,544,HP,Windows 11,16,512,66499,15.6,Intel Core i5 ,1,4.2
